baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSMUSG00000041596	205.263300819162	3.93811865684809	0.937738080092811	4.19959340507781	2.6739470884518e-05	0.00586979134970321	Nlrp5-ps
ENSMUSG00000013584	52.4379692406759	6.84015473789453	1.63603646230559	4.18093049604472	2.9031860304579e-05	0.00626120453902086	Aldh1a2
ENSMUSG00000041324	176.661321757056	-4.5390005044883	1.08861399310556	-4.16952246915328	3.05238523376362e-05	0.00646947787563037	Inhba
ENSMUSG00000064307	176.567093733979	4.56848817443457	1.09715845139545	4.16392743329281	3.12819573297009e-05	0.0065177813805765	Lrrc51
ENSMUSG00000091421	195.06386034909	-5.05884404669052	1.21631879329716	-4.1591432070018	3.19443582383662e-05	0.00654486659707059	Gm4202
ENSMUSG00000061330	98.1253654142116	4.84007923558615	1.16847130345629	4.14223200969454	3.43942147311846e-05	0.00672614326954472	Gm11361
ENSMUSG00000076439	33.4130287350276	-6.84349658637572	1.65096097824539	-4.1451595019822	3.39577254131468e-05	0.00672614326954472	Mog
ENSMUSG00000097292	61.1794963316301	6.79924893041581	1.64164728853345	4.1417233640302	3.44705951339232e-05	0.00672614326954472	A230107N01Rik
ENSMUSG00000034108	37.024391213393	-6.13692460494362	1.49024420140782	-4.11806642102423	3.82064588013688e-05	0.00722572304684965	Ccs
ENSMUSG00000041959	205.166551036779	4.37416462283889	1.06160374273833	4.12033647465868	3.78319498111424e-05	0.00722572304684965	S100a10
ENSMUSG00000033767	157.441724134978	-5.2200208263244	1.26883133681999	-4.11403838701451	3.88796737749965e-05	0.00724163378357624	D930015E06Rik
ENSMUSG00000020592	44.7708250523753	-5.60684109991932	1.36620430441535	-4.10395508329093	4.06146350436446e-05	0.00725225764810757	Sdc1
ENSMUSG00000027395	70.9526690458657	-5.37700038372175	1.31143035331961	-4.10010365408351	4.12965130861084e-05	0.00725225764810757	Polr1b
ENSMUSG00000061983	2795.66119849155	3.44570320551302	0.839729002198182	4.10335143420449	4.07207976752953e-05	0.00725225764810757	Rps12
ENSMUSG00000067608	33.1610355267333	-6.22160481177508	1.51666481708848	-4.10216202134801	4.09307485434925e-05	0.00725225764810757	Pcna-ps2
ENSMUSG00000022053	54.3416437861547	6.73779948586595	1.64870058975786	4.0867332296251	4.37489670766206e-05	0.00752812603593401	Ebf2
ENSMUSG00000022297	35.9686224116407	-6.79846930896665	1.66428492468285	-4.08491911940028	4.4092172340946e-05	0.00752812603593401	Fzd6
ENSMUSG00000003680	28.8661206844363	-6.78655471889354	1.66744898097175	-4.07002240928445	4.70086157855447e-05	0.00791612210755754	Taf6l
ENSMUSG00000057058	55.3909787655287	6.70624926499875	1.65129721267727	4.06120062064771	4.88209949344094e-05	0.00800208654304927	Skap1
ENSMUSG00000059857	141.113786303815	4.09833129427962	1.00878961911503	4.06262239085582	4.8524490939732e-05	0.00800208654304927	Ntng1
ENSMUSG00000029697	38.0537973161832	6.69984130402281	1.65979879533589	4.03653823755607	5.42456879017754e-05	0.00851145545071957	Fezf1
ENSMUSG00000038264	552.198549120637	-4.5017416399848	1.1157872131181	-4.03458794567517	5.46982006513338e-05	0.00851145545071957	Sema7a
ENSMUSG00000046352	41.3353179198896	6.68736010208077	1.65676941379447	4.03638553826561	5.42809892875598e-05	0.00851145545071957	Gjb2
ENSMUSG00000060126	12617.1979640485	3.33659789482926	0.825239101287643	4.04318928856264	5.27290174485961e-05	0.00851145545071957	Tpt1
ENSMUSG00000028487	25.8352564066797	6.75781879947475	1.67855196140569	4.0259812951012	5.67381992871228e-05	0.00871853354795751	Bnc2
ENSMUSG00000006930	229.117825813479	4.84123283692042	1.20400844909432	4.02092928879537	5.79690053465886e-05	0.00879769114476066	Hap1
ENSMUSG00000034218	157.146036666901	-5.12554533812633	1.28139364729339	-3.99997717247365	6.33485939712108e-05	0.0094968812888792	Atm
ENSMUSG00000050708	4672.17922545672	3.6361696120963	0.91015809368661	3.99509671706366	6.46678480939198e-05	0.00957785369419947	Ftl1
ENSMUSG00000003500	181.019684592709	-4.6316056949697	1.16992601264626	-3.95888769452477	7.52996317661923e-05	0.0110178949236924	Impdh1
ENSMUSG00000025289	32.345945239854	-5.97296066764146	1.51298397764231	-3.94780166604882	7.88721022764929e-05	0.0110178949236924	Prdx4
ENSMUSG00000040354	68.9333781139771	-5.22477109905599	1.32191561634769	-3.95242406886112	7.73634816308424e-05	0.0110178949236924	Mars
ENSMUSG00000061132	48.6575034851999	6.57298537635705	1.66182764761114	3.9552750165191	7.64466603952666e-05	0.0110178949236924	Blnk
ENSMUSG00000092837	2213.57471266407	4.54638533391067	1.1516052657743	3.94786778858106	7.88503270269722e-05	0.0110178949236924	Rpph1
ENSMUSG00000054044	43.26129210348	6.58499679184888	1.66943448885295	3.94444755743207	7.99841544110856e-05	0.0110476989907357	NA
ENSMUSG00000018698	33.0731476820517	6.53997803172717	1.66204574624455	3.93489652526379	8.32325475366792e-05	0.0113686411874266	Lhx1
ENSMUSG00000061787	2097.55351789051	3.44224964423197	0.876088459096338	3.92911196180185	8.52601383552407e-05	0.011517614074736	Rps17
ENSMUSG00000086382	58.4272790638876	6.47251906080081	1.65077545711946	3.92089610545527	8.82202947346844e-05	0.0117879574257986	Chrna1os
ENSMUSG00000024661	13323.9012962673	3.26030915496843	0.834210152426543	3.9082587828557	9.29637010146746e-05	0.0120295029112989	Fth1
ENSMUSG00000035268	856.658394726887	3.69419616100464	0.944937989096533	3.90945882547987	9.25031200943642e-05	0.0120295029112989	Pkig
ENSMUSG00000037361	75.6584518678332	-4.79690607484944	1.2263604937077	-3.91149755676388	9.17255844144185e-05	0.0120295029112989	Sf3b6
ENSMUSG00000068696	399.295431771424	3.41928193236968	0.876196416330518	3.90241487940514	9.52377348994895e-05	0.0121953903658273	Gpr88
ENSMUSG00000038900	5082.45737543674	3.2454556685764	0.833196738872851	3.89518527516905	9.8123696418029e-05	0.0122259453685573	Rpl12
ENSMUSG00000045795	30.8964931024602	-5.98425364724408	1.53748435972212	-3.89223708807395	9.9324109952296e-05	0.0122259453685573	Whamm
ENSMUSG00000058258	62.0213866378811	-4.7518163201128	1.22094436046678	-3.8919188080742	9.94545299646734e-05	0.0122259453685573	Idi1
ENSMUSG00000061762	58.0770096721419	4.99203761686501	1.28168782698301	3.89489352381216	9.82418753604304e-05	0.0122259453685573	Tac1
ENSMUSG00000039952	301.673732151833	-4.61163261802851	1.18817818705413	-3.88126349084242	0.000103915179139812	0.0126478148234228	Dag1
ENSMUSG00000028696	90.101175739902	-4.83221929524585	1.2475369538244	-3.87340774189687	0.000107324045820502	0.0129346519144258	Ipp
ENSMUSG00000000275	36.0248293071855	-5.8198834330203	1.50459532374441	-3.86807225914849	0.000109699160692567	0.0130136758157308	Trim25
ENSMUSG00000001506	112.862784681843	4.82427116938196	1.24748773906514	3.86718924628248	0.000110096988923453	0.0130136758157308	Col1a1
ENSMUSG00000022142	187.016570681164	-4.93914408962881	1.28029303556363	-3.85782313300989	0.00011440138125546	0.0132673224506922	Nup155
ENSMUSG00000026726	29.0837818129847	6.45267192473904	1.67231313032968	3.85853092205701	0.000114070637037399	0.0132673224506922	Cubn
ENSMUSG00000020123	126.47442018556	3.80970853286829	0.991673285853838	3.84169724768587	0.00012218648921183	0.0139188003504553	Avpr1a
ENSMUSG00000029563	352.181130856291	3.4146904721139	0.889370698860504	3.83944566252175	0.000123312416289662	0.0139188003504553	Foxp2
ENSMUSG00000033794	67.2882123341458	6.33265777013595	1.64945604591596	3.83924008512718	0.000123415703099294	0.0139188003504553	Lpcat2b
ENSMUSG00000048732	103.282922635575	-4.47744574984854	1.17109417957265	-3.82330117248335	0.00013167677916687	0.0145591086478553	Klhl11
ENSMUSG00000059246	33.7550315359915	6.44231638913444	1.68581142567855	3.82149289713193	0.00013264623513868	0.0145591086478553	Foxb1
ENSMUSG00000086247	40.8437916083112	6.01863266973089	1.57380315416151	3.82426013940574	0.000131165369084239	0.0145591086478553	Gm15787
ENSMUSG00000027933	258.081502389383	-4.14547510755078	1.08748121460007	-3.81199698155274	0.000137848560458151	0.0149962155195757	Ints3
ENSMUSG00000043165	24.994380664104	-6.45252258169494	1.69463751472577	-3.80761226257823	0.00014031504693563	0.0151306392278921	Lor
ENSMUSG00000032518	6475.8787006495	3.26854888553384	0.863279200647497	3.78620136229656	0.000152967734614313	0.0161801726851434	Rpsa
ENSMUSG00000044122	49.4655598865503	4.98047414899386	1.31600709828942	3.7845344113019	0.000153996600029429	0.0161801726851434	Proca1
ENSMUSG00000060969	49.8038883551041	6.32449778842284	1.66943900057915	3.78839705208085	0.000151622396706511	0.0161801726851434	Irx1
ENSMUSG00000039883	31.9841007523776	5.68766310874804	1.50514171587012	3.77882231870772	0.000157571802523624	0.0164155099018891	Lrrc17
ENSMUSG00000039109	28.2889966282151	6.38773046364144	1.70110130213255	3.75505588975424	0.000173302801953599	0.0179026163396268	F13a1
ENSMUSG00000029913	62.9858139429148	4.8025806495559	1.28045056816993	3.7506958635818	0.000176344493155816	0.0180046684021111	Prdm5
ENSMUSG00000097348	81.288010626257	4.83803297670309	1.2903299763917	3.74945406618566	0.000177219952546607	0.0180046684021111	Rmst
ENSMUSG00000093674	3570.04061328346	3.28453711240491	0.877265021471002	3.7440648287759	0.000181066901746078	0.0182447165833158	Rpl41
ENSMUSG00000057863	828.177143978174	3.68422712903384	0.986860997609361	3.7332786866223	0.000189003269868061	0.0188557310399506	Rpl36
ENSMUSG00000066809	29.7141831620572	6.30695679195781	1.6901068152098	3.73169123702686	0.00019019853973431	0.0188557310399506	Gm10180
ENSMUSG00000033061	83.8021540114024	5.23446324965066	1.40547498311891	3.7243375460407	0.000195828766381972	0.0192585842010687	Resp18
ENSMUSG00000034384	27.6409439581625	6.29259259645017	1.6921593413197	3.7186761570235	0.000200269607213807	0.0195390022339629	Barhl2
ENSMUSG00000028228	95.5943735755257	-4.39472790229416	1.18340774755495	-3.71362103330331	0.000204314680637011	0.019725811045812	Cpne3
ENSMUSG00000046330	2041.23758380204	3.19893381907681	0.861714751853086	3.71228856439746	0.000205393623514516	0.019725811045812	Rpl37a
ENSMUSG00000022103	237.611193828073	3.45554778053112	0.933805661602176	3.70049992479406	0.00021517514315537	0.0198816490088072	Gfra2
ENSMUSG00000029675	56.4255584330583	-5.04680486975053	1.36448660864886	-3.69868406018872	0.000216720163278302	0.0198816490088072	Eln
ENSMUSG00000032590	25.5862535534768	-6.19419177942997	1.67444519295139	-3.69925023852948	0.000216237318984812	0.0198816490088072	Apeh
ENSMUSG00000046994	30.3370983545169	-5.50591305722512	1.48662022908522	-3.70364464945639	0.000212523907303096	0.0198816490088072	Mars2
ENSMUSG00000087343	53.3100612447408	6.17348900109653	1.66761240207345	3.70199273729353	0.000213912742957031	0.0198816490088072	1700021N21Rik
ENSMUSG00000090691	42.5933596014491	5.40501402288503	1.45942866659445	3.70351367394854	0.000212633714379453	0.0198816490088072	Gm3667
ENSMUSG00000022562	23.0693070695966	-6.29749787146155	1.70490405493052	-3.69375499650518	0.000220966711166471	0.0199988417318954	Oplah
ENSMUSG00000066392	949.279764396831	3.11601482361693	0.843664737619453	3.69342783296753	0.000221251319900575	0.0199988417318954	Nrxn3
ENSMUSG00000043557	881.518857908382	-3.3877325385657	0.91776566743057	-3.69128270841749	0.00022312596665128	0.0200210767010525	Mdga1
ENSMUSG00000020277	174.376912170759	-3.8880050382019	1.05607666693249	-3.68155566725578	0.000231815159909673	0.0206500272519537	Pfkl
ENSMUSG00000032735	1583.61093276469	3.27635888389952	0.893511279395769	3.66683550555191	0.0002455706533977	0.0217179859152369	Ablim3
ENSMUSG00000040952	2330.47676469873	3.30193578005126	0.901389804614264	3.66316078032885	0.000249122059421309	0.0217195565706819	Rps19
ENSMUSG00000052456	240.143820783884	-4.30213524643041	1.17408543111541	-3.66424378704988	0.000248070421897714	0.0217195565706819	Asna1
ENSMUSG00000029036	105.246314753318	-4.41593486614622	1.20704951489657	-3.65845378474355	0.000253741484333395	0.0219665075134537	Atad3a
ENSMUSG00000022860	34.9012514561045	5.03920273780049	1.37821818951055	3.65631710287474	0.000255864815659271	0.0219954278244715	Chodl
ENSMUSG00000002395	839.095504880726	3.39136396863297	0.929269126667857	3.64949600853911	0.000262755322351645	0.022125002518169	Use1
ENSMUSG00000027748	212.364679068403	-3.77775131062848	1.03564551644066	-3.64772622548685	0.000264571330852586	0.022125002518169	Trpc4
ENSMUSG00000052911	25.7696280167732	-6.11439709381748	1.67619117978842	-3.64779218954562	0.000264503433276189	0.022125002518169	Lamb2
ENSMUSG00000067578	28.0892833484084	5.16577429898896	1.41556096738716	3.64927715443013	0.00026297925785505	0.022125002518169	Cbln4
ENSMUSG00000054667	41.7966151220759	4.94753233536504	1.35806847970908	3.64306543394988	0.000269410315731921	0.0223774392654899	Irs4
ENSMUSG00000027411	143.650834944588	-4.48543143252486	1.23539985131577	-3.63075277024489	0.000282595786892353	0.0228646773609111	Vps16
ENSMUSG00000034362	39.9792511785306	6.18341951080853	1.70338393806873	3.63007973282828	0.000283333683710022	0.0228646773609111	Csta1
ENSMUSG00000044636	115.077886390774	-4.24542271886575	1.16811047703154	-3.63443595648112	0.000278589446844975	0.0228646773609111	Csrnp2
ENSMUSG00000068859	86.3255177384602	4.69988992475734	1.2951100983813	3.6289501028766	0.000284576233321354	0.0228646773609111	Sp9
ENSMUSG00000097960	43.1891843555128	6.13607133331371	1.68867677305523	3.63365650029759	0.000279432824389671	0.0228646773609111	A330074K22Rik
ENSMUSG00000057098	106.196188699331	4.83332387501416	1.33274813970721	3.62658459690364	0.000287194757138092	0.0229252282434972	Ebf1
ENSMUSG00000026335	176.815612083452	-4.5251211413655	1.24865431370629	-3.62399832499188	0.000290083483340514	0.023006427488419	Pam
ENSMUSG00000024013	25.2344433206121	5.58588807682379	1.54230526704916	3.62177851308973	0.000292584578327987	0.0230560398806792	Fgd2
ENSMUSG00000023953	20.4171858482173	-6.21961757783675	1.71927432497982	-3.61758300433513	0.000297366980725325	0.0232836451850727	Polh
ENSMUSG00000032338	55.4100923714508	-4.8818875121135	1.3527399762188	-3.60888832882683	0.000307511937737823	0.0237706206026495	Hcn4
ENSMUSG00000032402	123.072766034122	-4.19958076351654	1.16418612128482	-3.6073104521138	0.00030938739904205	0.0237706206026495	Smad3
ENSMUSG00000032502	90.9072472155688	4.55000622997493	1.26116645369548	3.60777613188367	0.000308832781955294	0.0237706206026495	Stac
ENSMUSG00000026923	71.7754566443087	-4.78714534903432	1.32992310778808	-3.59956550946488	0.000318749327567244	0.0243377980359263	Notch1
ENSMUSG00000032006	61.6636480135048	5.41914982939919	1.50992768429291	3.58901282874149	0.000331932508399883	0.0250334130414709	Pdgfd
ENSMUSG00000045573	55.8737748737633	5.10492482260908	1.42212344846652	3.58964956812557	0.000331122799060708	0.0250334130414709	Penk
ENSMUSG00000025290	3481.93263762348	2.99675293235957	0.836253485799927	3.58354611759017	0.000338960884264326	0.0251266208762941	Rps24
ENSMUSG00000025475	67.2137364151332	3.98148918353171	1.1107227331793	3.58459322439114	0.000337603963895187	0.0251266208762941	Adgra1
ENSMUSG00000036040	21.7391295141303	-6.16457762751865	1.72037055504888	-3.58328478096016	0.000339300338848517	0.0251266208762941	Adamtsl2
ENSMUSG00000031093	120.194398115543	-4.26873586771609	1.19325912565957	-3.57737542158461	0.000347061537088315	0.0254081415434571	Dock11
ENSMUSG00000074358	21.7146547153429	-6.11354681685515	1.70901015959305	-3.57724427940844	0.000347235644618954	0.0254081415434571	Ccdc61
ENSMUSG00000025969	320.041259467085	3.44332606206652	0.965430850593863	3.56662112045459	0.000361613713265785	0.0263036531193864	Nrp2
ENSMUSG00000025759	107.549030939346	-4.42700368709429	1.24231023485751	-3.56352508647089	0.000365907707767159	0.0264594320681276	Mfsd8
ENSMUSG00000039316	87.9897348003433	3.73115319022449	1.04768628724793	3.56132674030269	0.000368985561217173	0.0265259620119456	Rftn1
ENSMUSG00000039230	240.746288867004	-4.58879274036724	1.28974129381176	-3.55791720586483	0.000373807089925814	0.0267163404445235	Tbcd
ENSMUSG00000025579	85.703983053631	-4.04955007340548	1.1392882306524	-3.55445616346492	0.000378761646566045	0.0269139706429849	Gaa
ENSMUSG00000041695	122.317067225647	-3.90851624159762	1.10081482890228	-3.55056648854844	0.00038440302521067	0.027157852809855	Kcnj2
ENSMUSG00000060128	143.055286714694	-4.3048704941259	1.21351779429884	-3.54743087769325	0.000389007814240852	0.0273261317740731	Gm2710
ENSMUSG00000052551	315.593104206212	3.35014978030278	0.945276349602709	3.54409563056434	0.000393962320615574	0.0275169250416321	Adarb2
ENSMUSG00000063146	747.300170471749	-3.16610923878558	0.89470527104541	-3.53871754336058	0.000402075828406393	0.0276129506067027	Clip2
ENSMUSG00000074825	44.8782626861045	-4.38106313666598	1.23781883752096	-3.539341140938	0.000401127116645553	0.0276129506067027	Itpripl1
ENSMUSG00000086526	38.7752896732429	6.05267251724267	1.71032891194564	3.53889387881379	0.000401807347667354	0.0276129506067027	Gm12762
ENSMUSG00000029918	19.3595543762098	-6.11584584893531	1.73001575770669	-3.53513881112995	0.000407560999109834	0.0277307890639069	Mrps33
ENSMUSG00000041380	56.6578710558794	4.72302967476278	1.33730469213859	3.53175286270014	0.000412814967761731	0.0277307890639069	Htr2c
ENSMUSG00000047676	1383.42198383027	3.62523265240164	1.02621568137836	3.53262254532344	0.00041145947863934	0.0277307890639069	Rpsa-ps10
ENSMUSG00000049313	449.019802298038	-3.43798757577088	0.973347896033815	-3.53212616966652	0.000412232620658461	0.0277307890639069	Sorl1
ENSMUSG00000007892	3014.80645424933	2.99906459910028	0.849689520748011	3.52960054922191	0.000416187522158354	0.0278053978798513	Rplp1
ENSMUSG00000058952	27.11990637628	6.08523850253772	1.72559833605174	3.52645130410886	0.000421168608282741	0.0279860848736202	Cfi
ENSMUSG00000028990	215.563551508882	-3.7587352883205	1.0669185216253	-3.52298250722518	0.000426719523596312	0.0280516743506389	Lzic
ENSMUSG00000038718	144.669018312222	3.79327430405876	1.07669988014705	3.52305630752061	0.000426600717372897	0.0280516743506389	Pbx3
ENSMUSG00000024736	168.332558738342	-4.4536607996017	1.26674827529727	-3.51582148280923	0.000438395647900953	0.0286659452108852	Tmem132a
ENSMUSG00000063457	988.025934600354	2.99603586065905	0.854413484635323	3.50654093660261	0.000453971600731884	0.029527369776704	Rps15
ENSMUSG00000038034	172.883644085453	-3.52632367981146	1.00677687218437	-3.50258709475567	0.000460763119072198	0.0298113738039712	Igsf8
ENSMUSG00000024962	253.086618616694	3.21427806908988	0.919741830138504	3.49476120772482	0.000474486064643817	0.0305385193333322	Vegfb
ENSMUSG00000001313	779.047624544683	3.27453597227805	0.938138323026216	3.49046179215359	0.000482186555746493	0.0307915203222928	Rnd2
ENSMUSG00000070934	211.048999174744	-4.08802596244556	1.17142952429718	-3.4897754219557	0.000483426618579884	0.0307915203222928	Rraga
ENSMUSG00000045128	1730.76775666302	3.05945755019099	0.877358738162244	3.48712267526904	0.000488247343946099	0.0309222884187222	Rpl18a
ENSMUSG00000090828	186.18214123752	3.2028771982995	0.918813030889569	3.48588569232476	0.000490510554108096	0.0309222884187222	NA
ENSMUSG00000025533	23.9081197300664	-5.45009152789738	1.56558402601946	-3.48118749126125	0.000499195926333073	0.031058400831785	Asl
ENSMUSG00000044216	27.3709128845943	-5.21027620447919	1.49613658061545	-3.4824870081954	0.000496779325354588	0.031058400831785	Kcnj4
ENSMUSG00000073702	1771.63256878616	2.92367544658733	0.839986261539899	3.48062293450791	0.000500249195858898	0.031058400831785	Rpl31
ENSMUSG00000049517	4316.9415034319	3.2281401115773	0.929258894557666	3.47388669668201	0.000512977598862472	0.0316886111699315	Rps23
ENSMUSG00000065767	31.1773075020469	5.99428497959603	1.72639083260814	3.472148291323	0.000516311050500454	0.0317350587190104	Gm23849
ENSMUSG00000031889	38.8379535212928	-4.6850399732583	1.35042171312779	-3.46931623485749	0.000521784885736375	0.0319119482604839	D230025D16Rik
